A0A087X1C5	CP2D7_HUMAN	1564
A0A0B4J2F0	PIOS1_HUMAN	101928527
A0A0B4J2F2	SIK1B_HUMAN	102724428
A0A0K2S4Q6	CD3CH_HUMAN	100130520
A0A0U1RRE5	NBDY_HUMAN	550643
A0AV02	S12A8_HUMAN	84561
A0AV96	RBM47_HUMAN	54502
A0AVF1	IFT56_HUMAN	79989
A0AVI4	TM129_HUMAN	92305
A0AVK6	E2F8_HUMAN	79733
A0AVT1	UBA6_HUMAN	55236
A0FGR8	ESYT2_HUMAN	57488
A0FGR9	ESYT3_HUMAN	83850
A0JLT2	MED19_HUMAN	219541
A0JNW5	BLT3B_HUMAN	23074
A0JP26	POTB3_HUMAN	102724631
A0MZ66	SHOT1_HUMAN	57698
A0PJK1	SC5AA_HUMAN	125206
A0PJY2	FEZF1_HUMAN	389549
A0PK00	T120B_HUMAN	144404
A0PK11	CLRN2_HUMAN	645104
A1A4S6	RHG10_HUMAN	79658
A1A4Y4	IRGM_HUMAN	345611
A1A519	F170A_HUMAN	340069
A1A5B4	ANO9_HUMAN	338440
A1A5C7	S22AN_HUMAN	63027
A1E959	ODAM_HUMAN	54959
A1KXE4	F168B_HUMAN	130074
A1KZ92	PXDNL_HUMAN	137902
A1L0T0	HACL2_HUMAN	10994
A1L167	U2QL1_HUMAN	134111
A1L190	SYCE3_HUMAN	644186
A1L390	PKHG3_HUMAN	26030
A1L3X0	ELOV7_HUMAN	79993
A1L4H1	SRCRL_HUMAN	284297
A1L4K1	FSD2_HUMAN	123722
A1X283	SPD2B_HUMAN	285590
A1XBS5	CBAR1_HUMAN	137392
A1Z1Q3	MACD2_HUMAN	140733
A2A288	ZC12D_HUMAN	340152
A2A2Y4	FRMD3_HUMAN	257019
A2IDD5	CCD78_HUMAN	124093
A2PYH4	HFM1_HUMAN	164045
A2RRP1	NBAS_HUMAN	51594
A2RTX5	SYTC2_HUMAN	123283
A2RU14	TM218_HUMAN	219854
A2RU30	TESP1_HUMAN	9840
A2RU49	HYKK_HUMAN	123688
A2RUB1	MEIOC_HUMAN	284071
A2RUB6	CCD66_HUMAN	285331
A2RUC4	TYW5_HUMAN	129450
A2RUH7	MBPHL_HUMAN	343263
A2VDJ0	T131L_HUMAN	23240
A3KMH1	VWA8_HUMAN	23078
A4D0S4	LAMB4_HUMAN	22798
A4D126	ISPD_HUMAN	729920
A4D161	F221A_HUMAN	340277
A4D1B5	GSAP_HUMAN	54103
A4D1E9	GTPBA_HUMAN	85865
A4D1P6	WDR91_HUMAN	29062
A4D1T9	PRS37_HUMAN	136242
A4D2B0	MBLC1_HUMAN	255374
A4GXA9	EME2_HUMAN	197342
A4UGR9	XIRP2_HUMAN	129446
A5A3E0	POTEF_HUMAN	728378
A5D8T8	CL18A_HUMAN	348174
A5D8V6	VP37C_HUMAN	55048
A5D8V7	ODAD3_HUMAN	115948
A5D8W1	CFA69_HUMAN	79846
A5LHX3	PSB11_HUMAN	122706
A5PKW4	PSD1_HUMAN	5662
A5PLL7	PDES1_HUMAN	387521,387522
A5X5Y0	5HT3E_HUMAN	285242
A5YKK6	CNOT1_HUMAN	23019
A5YM72	CRNS1_HUMAN	57571
A6BM72	MEG11_HUMAN	84465
A6H8Y1	BDP1_HUMAN	55814
A6H8Z2	F221B_HUMAN	392307
A6NC98	CC88B_HUMAN	283234
A6NCS4	NKX26_HUMAN	137814
A6ND01	JUNO_HUMAN	390243
A6ND36	FA83G_HUMAN	644815
A6NDB9	PALM3_HUMAN	342979
A6NDE4	RBY1B_HUMAN	378948
A6NDG6	PGP_HUMAN	283871
A6NDV4	TMM8B_HUMAN	51754
A6NED2	RCCD1_HUMAN	91433
A6NEM1	GG6L9_HUMAN	440295
A6NFA1	TIKI2_HUMAN	388630
A6NFQ2	TCAF2_HUMAN	285966
A6NFX1	MFS2B_HUMAN	388931
A6NFY7	SDHF1_HUMAN	644096
A6NGG8	PCARE_HUMAN	388939
A6NGQ2	OOEP_HUMAN	441161
A6NHL2	TBAL3_HUMAN	79861
A6NHR9	SMHD1_HUMAN	23347
A6NHX0	CAST2_HUMAN	729438
A6NI15	MSGN1_HUMAN	343930
A6NI61	MYMK_HUMAN	389827
A6NI73	LIRA5_HUMAN	353514
A6NIH7	U119B_HUMAN	84747
A6NIX2	WTIP_HUMAN	126374
A6NJ46	NKX63_HUMAN	157848
A6NJ78	MET15_HUMAN	196074
A6NK06	IRG1_HUMAN	730249
A6NK58	LIPT2_HUMAN	387787
A6NK89	RASFA_HUMAN	644943
A6NKB5	PCX2_HUMAN	80003
A6NMZ7	CO6A6_HUMAN	131873
A6NNB3	IFM5_HUMAN	387733
A6NNN8	S38A8_HUMAN	146167
A6NNY8	UBP27_HUMAN	389856
A7E2V4	ZSWM8_HUMAN	23053
A7E2Y1	MYH7B_HUMAN	57644
A7KAX9	RHG32_HUMAN	9743
A7MCY6	TBKB1_HUMAN	9755
A7MD48	SRRM4_HUMAN	84530
A7XYQ1	SOBP_HUMAN	55084
A8K0Z3	WASH1_HUMAN	100287171
A8K2U0	A2ML1_HUMAN	144568
A8K4G0	CLM7_HUMAN	124599
A8K7I4	CLCA1_HUMAN	1179
A8K830	OCAT2_HUMAN	120376
A8K8P3	SFI1_HUMAN	9814
A8K8V0	ZN785_HUMAN	146540
A8MPY1	GBRR3_HUMAN	200959
A8MQ03	CRTP1_HUMAN	375791
A8MQ27	NEU1B_HUMAN	54492
A8MT69	CENPX_HUMAN	201254
A8MTA8	CMI2B_HUMAN	730112
A8MTJ3	GNAT3_HUMAN	346562
A8MTJ6	FOXI3_HUMAN	344167
A8MTQ0	NOTO_HUMAN	344022
A8MTZ0	BBIP1_HUMAN	92482
A8MU46	SMTL1_HUMAN	219537
A8MUP2	CSKMT_HUMAN	751071
A8MV65	VGLL3_HUMAN	389136
A8MVW5	HECA2_HUMAN	253012
A8MW92	P20L1_HUMAN	51105
A8MW95	BECN2_HUMAN	441925
A8MW99	MEI4_HUMAN	101928601
A8MXD5	GRCR1_HUMAN	389207
